city,min_distance
Charmoille,62.80836560496393
Charmois,115.25559498320995
Charmont,227.00541224760101
Charmoy,51.731971603144466
Charnay,169.3048088188097
Charny,117.32546526206394
Charron,284.414529477332
Charroux,212.94702932657037
Chassagnes,102.6665860759999
Chasselay,81.63959630421098
Chassignolles,175.0654668091619
Chassy,98.26704818901919
Chaudefontaine,217.8689944362601
Chaudenay,114.4158497742889
Chaumont,152.34729945423996
Chaumot,96.8193328738755
Chaussy,108.00892832302627
Chaux,159.13619205921418
Chavagnac,118.96252351932188
Chavannes,276.9970742047015
Chavigny,224.3522906805067
Chazelles,15.317357874232341
Chazeuil,144.51141722830238
Chelles,61.58453823041035
Chemilly,242.7862866802641
Chenay,236.58524773598026
Chenereilles,41.41219120796402
Cherré,104.59480982852234
Chessy,361.01860324567417
Chevannes,53.85810496369183
Chevillon,160.46310065461816
Chevrières,82.67657745176531
Chevry,615.3443832023637
Chezelles,88.55363213408644
Chiddes,62.799387131561495
Chilly,122.9471792209913
Chirac,256.80847785006284
Châteaubourg,590.6509540474829
Châteaudouble,180.65934895065664
Châteaufort,580.1754538597467
Châteauneuf,82.12690335501792
Châteauvieux,89.0085416352566
Châtelneuf,188.6631540100601
Châtelus,87.27917314261414
Châtenay,69.33061268378161
Châtenois,77.68991229717251
Châtenoy,38.91632644279446
Châtillon,120.56975098872579
Châtres,80.39802283904284
Chèvreville,290.968168681179
Chémery,427.85205337238983
Chérancé,99.24615086050075
Chézery-Forens,0.0
Cintray,52.04909798521384
Civray,170.52067170796772
Cize,68.6412900088067
Claix,443.68204114225307
Clamecy,219.0586720367421
Clans,410.0488545346047
Clarac,33.985477472519
Claret,172.9275767775648
Clermont,192.37685091882128
Clermont-Ferrand,0.0
Clessé,401.62715878488683
Clion,210.41865192283268
Cléry,192.78300542692668
Cléville,72.98546939328396
Cogny,180.30890797115222
Cohennoz,0.0
Coincy,208.9590549726213
Collongues,545.0113715314905
Colombier,128.6777676108018
Colombiers,146.1375594884925
Comps,87.48225185237744
Condamine,60.583747724385546
Condat,94.40372089134095
Condes,204.11012292808888
Contes,837.5570585067223
Conteville,30.066283193882708
Contres,101.02089450898053
Corbara,0.0
Corbières,314.5273543051884
Corbon,90.35817848373365
Corcelles,185.78677467067914
Cormeilles,138.85538503590678
Cormeray,243.181654928767
Coublanc,191.38715458163622
Coudray,134.31028552694656
Coulanges,232.21678506698373
Coulombiers,201.51872062396572
Coulombs,167.89391698831201
Coulonces,67.89544881712273
Coulonges,47.17549182802738
Courbouzon,324.32622401165986
Courcelles,96.03224657207159
Courchamps,331.62335349429947
